Step	Volume(Å³)	Pressure(GPa)	MeanForce(eV/Å)	MaxForce(eV/Å)	Stress_xx(GPa)	Stress_yy(GPa)	Stress_zz(GPa)	TotalEnergy(eV)	Temperature(K)
65	52.120312	3.540489	1.030088	1.427187	4.699614	2.540029	3.381825	-14.409202	196.47
66	52.120312	3.163433	0.970866	1.295725	4.229513	2.207462	3.053325	-14.409501	254.98
67	52.120312	2.668808	0.892281	1.135702	3.603896	1.788223	2.614304	-14.409858	332.61
68	52.120312	2.125266	0.803255	0.997388	2.903196	1.344965	2.127636	-14.410210	418.54
69	52.120312	1.604977	0.713215	0.865366	2.211011	0.942663	1.661256	-14.410507	501.95
70	52.120312	1.169497	0.633517	0.958665	1.600423	0.634176	1.273892	-14.410713	573.71
71	52.120312	0.860927	0.582482	1.051797	1.125124	0.452797	1.004861	-14.410813	627.34
72	52.120312	0.697479	0.585790	1.133174	0.812674	0.408659	0.871104	-14.410808	659.65
73	52.120312	0.679343	0.638333	1.191276	0.672067	0.491291	0.874671	-14.410719	670.55
74	52.120312	0.784821	0.710989	1.217304	0.691917	0.666615	0.995933	-14.410572	662.65
75	52.120312	0.976854	0.782527	1.205580	0.843816	0.889079	1.197668	-14.410393	640.39
76	52.120312	1.214451	0.840118	1.153994	1.089392	1.114977	1.438984	-14.410209	609.19
77	52.120312	1.456156	0.877320	1.081587	1.385799	1.305860	1.676807	-14.410050	574.65
78	52.120312	1.663522	0.892083	1.147523	1.687431	1.431936	1.871200	-14.409930	541.64
79	52.120312	1.816331	0.884967	1.172650	1.966859	1.480696	2.001438	-14.409862	513.84
80	52.120312	1.906168	0.860101	1.158151	2.205088	1.452961	2.060454	-14.409847	493.36
81	52.120312	1.935629	0.826957	1.107674	2.390725	1.362685	2.053478	-14.409880	480.66
82	52.120312	1.918701	0.802345	1.067532	2.521948	1.236093	1.998062	-14.409952	474.73
83	52.120312	1.874403	0.798326	1.038924	2.604346	1.102144	1.916719	-14.410046	473.36
84	52.120312	1.822188	0.808301	0.983849	2.645451	0.987061	1.834053	-14.410139	473.72
85	52.120312	1.780483	0.824368	0.966757	2.655486	0.914979	1.770985	-14.410209	473.01
86	52.120312	1.763656	0.844851	1.191874	2.642614	0.904523	1.743831	-14.410241	469.15
87	52.120312	1.777564	0.871048	1.404579	2.613601	0.960315	1.758775	-14.410226	461.19
88	52.120312	1.821227	0.902797	1.590371	2.567881	1.080295	1.815505	-14.410173	449.49
89	52.120312	1.889793	0.936483	1.737979	2.505176	1.257564	1.906639	-14.410097	435.58
90	52.120312	1.967067	0.964868	1.835894	2.413837	1.468863	2.018503	-14.410023	421.65
91	52.120312	2.035239	0.981235	1.876556	2.287480	1.686510	2.131727	-14.409975	409.83
92	52.120312	2.088044	0.981393	1.856727	2.134523	1.892624	2.236984	-14.409962	401.56
93	52.120312	2.125652	0.965338	1.778593	1.971629	2.078947	2.326381	-14.409976	397.31
94	52.120312	2.152930	0.937922	1.648722	1.820655	2.244246	2.393889	-14.410001	396.74
95	52.120312	2.169553	0.907758	1.473829	1.693532	2.379285	2.435842	-14.410025	399.14
96	52.120312	2.175961	0.883856	1.262821	1.601188	2.477679	2.449015	-14.410033	403.84
97	52.120312	2.169488	0.864632	1.081648	1.547876	2.531511	2.429077	-14.410021	410.59
98	52.120312	2.147001	0.841708	1.060159	1.533217	2.532894	2.374891	-14.409992	419.70
99	52.120312	2.106797	0.809042	1.017733	1.554540	2.479177	2.286675	-14.409961	431.98
100	52.120312	2.049904	0.763934	0.968722	1.607908	2.372538	2.169266	-14.409939	448.35
101	52.120312	1.973385	0.718861	0.980696	1.674550	2.215916	2.029690	-14.409931	469.52
102	52.120312	1.869483	0.767416	1.048259	1.727323	2.010812	1.870314	-14.409945	495.75
103	52.120312	1.730784	0.802229	1.081751	1.738931	1.760876	1.692545	-14.409983	526.67
104	52.120312	1.555083	0.818136	1.078328	1.689074	1.476431	1.499743	-14.410048	561.12
105	52.120312	1.349867	0.815037	1.036880	1.568796	1.178229	1.302575	-14.410145	597.07
106	52.120312	1.131995	0.793542	0.973087	1.385064	0.894584	1.116338	-14.410267	631.56
107	52.120312	0.924700	0.755514	1.052740	1.159045	0.657787	0.957269	-14.410405	660.81
108	52.120312	0.758927	0.704875	1.087498	0.925161	0.503502	0.848117	-14.410544	680.58
109	52.120312	0.669960	0.648930	1.078565	0.726265	0.470163	0.813451	-14.410665	686.61
110	52.120312	0.689153	0.598555	1.029530	0.607438	0.587117	0.872905	-14.410741	675.30
111	52.120312	0.835706	0.566682	0.947139	0.602137	0.868021	1.036960	-14.410751	644.44
112	52.120312	1.113590	0.598448	0.840449	0.724939	1.309189	1.306640	-14.410676	593.89
113	52.120312	1.509870	0.676344	0.862044	0.973544	1.887882	1.668184	-14.410512	526.13
114	52.120312	1.990590	0.759191	0.950162	1.325660	2.555256	2.090855	-14.410269	446.34
115	52.120312	2.503781	0.840161	1.036586	1.737316	3.244662	2.529365	-14.409965	362.18
116	52.120312	2.989378	0.916360	1.164722	2.154427	3.883546	2.930159	-14.409638	283.08
117	52.120312	3.383527	0.984102	1.263804	2.516050	4.396978	3.237553	-14.409337	219.09
